nameOfCamp,amountReached,goalOfCamp,category,dateCreated,peopleDonated,numberOfDays,locationCity,locationState,socialMediaShares,NumberOfFbComments,NumberOfUpdates
Help Us To Help Sweet Stevie,"$3,695","$5,500",Animals," September 16, 2016",108,8,TACOMA,WA,478000,,
Saving Our Best Friend's Life,"$3,780","$8,000",Animals," September 17, 2016",85,7,BEDFORD,IN,2000,3,3
Grace the Chihuahua's Health Issues,"$3,500","$6,500",Animals," September 23, 2016",65,2,CAMP HILL,PA,282000,,2
,"$2,760","$6,000",Animals," September 8, 2016",78,17,ALGONQUIN,IL,279000,2,1
Good luck Chuck!!,"$1,700","$1,900",Animals," September 16, 2016",65,9,VIRGINIA BEACH,VA,256000,2,3
Rainy's cancer treatment fund,"$3,728","$6,000",Animals," September 12, 2016",101,12,LOS ANGELES,CA,190000,,2
Helping My Puppy,"$1,650","$4,100",Animals," September 7, 2016",61,17,LAS VEGAS,NV,160000,2,4
Help Survivors of the Hanging Barn,"$8,937","$12,000",Animals," May 4, 2016",179,4,COCHRANTON,PA,4700,13,33
Bottles 4 Babies Flint Water Relief,"$69,484","$70,000",Flint Crisis," September 28, 2015","1,080",12,GRAND BLANC,MI,4800,13,76
LA Flood Animals Medical Care ,"$11,817","$25,000",Animals," August 28, 2016",131,28,NEW ORLEANS,LA,2000,1,5
BALTO got HIT by a car & needs help,"$2,010","$8,000",Animals," September 22, 2016",36,3,WASHINGTON,PA,349000,1,3
help me save the animals of kauai,"$14,405","$20,000",Animals," April 15, 2014",319,29,KAPAA,HI,3100,6,119
Dallas Mastectomy Surgery,"$7,245","$10,000",Animals," September 6, 2016",112,18,DALLAS,TX,351000,1,4
Bubbles' Vet Bills,"$2,760","$20,000",Animals," September 13, 2016",87,11,BLACK LICK,PA,580000,,6
Stella's surgery fund!,"$1,500","$7,000",Animals," September 16, 2016",65,9,HOUSTON,TX,123000,,5
Vet Bills & Sight for Jake (Puggle),"$4,270","$5,500",Animals," January 28, 2016",105,8,METAMORA,IL,3400,,37
"Thanks to you, ER pets get help! ","$57,320","$80,000",Animals," December 18, 2013","1,724",33,MANCHESTER,NH,2300,50,41
Troublez Medical Expenses,$285,"$1,500",Animals," September 20, 2016",14,4,ONTARIO,CA,1900,1,3
Dash's CCL Surgery ,"$2,160","$3,500",Animals," September 6, 2016",58,18,WAUSAU,WI,216000,,12
Help Us Get Lilly Back on All Fours,"$1,700","$2,500",Animals," January 30, 2016",29,7,FORISTELL,MO,181000,1,1
HELP US SAVE KNOX!!,"$1,380","$2,600",Animals," June 29, 2015",39,15,WASHINGTON,PA,274000,,2
"Jax's Medical Fund, he needs us! ","$2,815","$5,000",Animals," October 8, 2015",50,11,SAN CARLOS,CA,180000,1,3
HELP US SAVE DIAMONDS LIFE,"$1,250","$9,800",Animals," August 13, 2015",25,13,SAINT PETERSBURG,FL,400000,2,1
Help Us Save Brewsers Leg,"$1,925","$3,000",Animals," December 28, 2015",53,9,SPRING HILL,FL,116000,3,6
Help us build a Kitten Nursery!,$725,"$1,500",Animals," January 25, 2015",19,20,GAINESVILLE,FL,590000,,6
Please Help Us Save Gator  ,"$1,850","$3,000",Animals," October 2, 2013",43,36,CLEVELAND,TN,549000,,14
Help us save Harvey!,"$1,238","$2,800",Animals," May 16, 2016",32,4,MANSFIELD CENTER,CT,116000,,4
POPSICLE  NEEDS YOUR HELP!,"$1,260","$2,640",Animals," February 1, 2016",27,7,Stratford,ON,186000,3,11
Please help us get our dogs home,"$3,200","$6,000",Animals," March 14, 2014",42,30,Bangkok,TH,411000,4,13
Operation: Gypsy Operation,"$2,709","$3,500",Animals," September 12, 2016",76,13,MINNEAPOLIS,MN,98000,2,5
World Bird Sanctuary's Tractor Fund,"$25,102",$24.30,Animals," January 25, 2016",90,8,VALLEY PARK,MO,1700,,6
Lewis needs new legs,$785,"$15,000",Animals," September 23, 2016",21,2,YORK,PA,144000,,4
Please help me move with my pups!,$950,"$1,500",Animals," September 23, 2016",21,2,CASSELBERRY,FL,107000,,
Help Save Ella's Eye Sight,"$3,121","$3,800",Animals," September 21, 2016",32,3,FAYETTEVILLE,AR,83000,,1
Found cat w/ 2 broken legs Med help,$430,$400,Animals," September 24, 2016",19,1,SAINT LOUIS,MO,49000,,
Rockys Medical Treatment,"$2,370","$15,000",Animals," September 17, 2016",51,8,LINDENHURST,NY,171000,4,3
Craig/Jeannie Family Burn Recovery,"$23,440","$50,000",Animals," September 2, 2016",309,22,WASHINGTON,DC,669000,11,17
SAVE HENRY,$865,"$4,500",Animals," September 24, 2016",17,1,WEST PALM BEACH,FL,97000,,1
Starfire's Transport to Sanctuary,"$5,185","$7,500",Animals," May 12, 2016",59,4,MALIBU,CA,1000,3,2
Negri's Emergency Surgery,$937,"$7,000",Animals," September 6, 2016",37,19,MIAMI,FL,330000,2,5
BFF Kitten Kountdown,"$5,869","$10,000",Animals," April 25, 2016",95,5,FORT LAUDERDALE,FL,1000,5,43
SMPS Water Drive for Flint,"$5,055","$6,800",Flint Crisis," January 10, 2016",198,8,ANN ARBOR,MI,1000,1,4
Oakley's Surgery Funds,$375,"$5,000",Animals," September 24, 2016",15,1,NORTH LAS VEGAS,NV,112000,3,1
Azias Fight Against AIHA,$810,"$10,000",Animals," September 23, 2016",13,1,DAYTON,OH,212000,,3
Alpena Dog Park,"$1,775","$3,400",Animals," September 17, 2016",28,7,ALPENA,MI,364000,,
Limo's Tumor Fund,"$2,650","$2,600",Animals," September 19, 2016",40,5,WEEHAWKEN,NJ,61000,1,5
Penny's heart surgery ,$460,"$6,000",Animals," September 23, 2016",15,1,SHARON HILL,PA,86000,1,
Lucky Paws Sanctuary,"$13,435",$1.4M ,Animals," August 20, 2016",35,1,SCOTTSDALE,AZ,736000,,
David & Kayla's Tornado Help,"$11,060","$10,000",US Storms," December 27, 2015",136,9,DALLAS,TX,941000,,2
Street Dog Appeal ,,,Animals," July 18, 2016",87,2,Westward Ho,ENG,964000,4,60
Sweet Puppy's Fracture Repair,"$3,280","$3,000",Animals," September 22, 2016",121,3,ATHENS,GA,467000,,3
Renovate our home!!,"$9,640","$20,000",Animals," August 8, 2014",156,25,GOSHEN,KY,910000,4,12
Ginger abused Yorkie Fund,"$23,120","$35,000",Animals," December 3, 2015",274,9,TENAFLY,NJ,3300,18,34
Friends of SCAC Rescue Fund,$600,"$5,000",Animals," April 23, 2016",23,5,SPRINGFIELD,IL,252000,,6
Help Support the Austin Zoo,"$20,080","$30,000",Animals," July 5, 2014",374,27,AUSTIN,TX,1000,,
PAS Distemper Fund,"$4,575","$10,000",Animals," April 22, 2015",125,17,PONDERAY,ID,11000,1,2
Abused and Abandoned Dog Sanctuary,"$4,125","$12,000",Animals," August 19, 2015",133,13,RANCHO CORDOVA,CA,1900,,42
Twin Oaks Mr. Tibbs Memorial Fund,"$15,179","$50,000",Animals," May 1, 2014",279,29,MANORVILLE,NY,782000,14,34
Kane's Emergency Medical Expenses,$895,"$5,000",Animals," September 22, 2016",26,3,Sarnia,ON,258000,,8
Major surgery For Rufus,$965,"$5,000",Animals," September 24, 2016",13,1,BLUE BELL,PA,52000,,1
OSCAR Animal Rescue Shelter Fund,"$2,090","$100,000",Animals," January 27, 2015",40,20,SPARTA,NJ,745000,,1
 TLC Animal Shelter Vehicle Fund,"$19,873","$29,000",Animals," April 17, 2015",104,17,HOMER GLEN,IL,412000,1,6
Bizzie's Vet Bills,$750,"$5,000",Animals," September 21, 2016",11,3,PANAMA CITY,FL,98000,5,1
Please help our lil rescue niblet!,$920,"$2,400",Animals," September 24, 2016",12,1,West Hartford,CT,57000,,1
Help us Save Caillou From Cancer!,"$1,260","$4,000",Animals," May 11, 2016",27,4,CHARLESTON,SC,595000,3,13
