nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Help Us To Help Sweet Stevie,1,"3,695",5500,0.672,0,0,Animals," September 16, 2016",9,9/16/16,9/25/16,9,108,8,TACOMA,WA,478000,0,0,,
Saving Our Best Friend's Life,2,"3,780",8000,0.473,0,0,Animals," September 17, 2016",9,9/17/16,9/25/16,8,85,7,BEDFORD,IN,2000,3,3,3,3
Grace the Chihuahua's Health Issues,3,"3,500",6500,0.538,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,65,2,CAMP HILL,PA,282000,0,2,,2
Good luck Chuck!!,4,"1,700",1900,0.895,0,0,Animals," September 16, 2016",9,9/16/16,9/25/16,9,65,9,VIRGINIA BEACH,VA,256000,2,3,2,3
Rainy's cancer treatment fund,5,"3,728",6000,0.621,0,0,Animals," September 12, 2016",9,9/12/16,9/25/16,13,101,12,LOS ANGELES,CA,190000,0,2,,2
Helping My Puppy,6,"1,650",4100,0.402,0,0,Animals," September 7, 2016",9,9/7/16,9/25/16,18,61,17,LAS VEGAS,NV,160000,2,4,2,4
Help Survivors of the Hanging Barn,7,"8,937",12000,0.745,0,0,Animals," May 4, 2016",5,5/4/16,9/25/16,144,179,4,COCHRANTON,PA,4700,13,33,13,33
Bottles 4 Babies Flint Water Relief,8,"69,484",70000,0.993,0,0,Flint Crisis," September 28, 2015",9,9/28/15,9/25/16,363,1080,12,GRAND BLANC,MI,4800,13,76,13,76
LA Flood Animals Medical Care ,9,"11,817",25000,0.473,0,0,Animals," August 28, 2016",8,8/28/16,9/25/16,28,131,28,NEW ORLEANS,LA,2000,1,5,1,5
BALTO got HIT by a car & needs help,10,"2,010",8000,0.251,0,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,36,3,WASHINGTON,PA,349000,1,3,1,3
help me save the animals of kauai,11,"14,405",20000,0.72,0,0,Animals," April 15, 2014",4,4/15/14,9/25/16,894,319,29,KAPAA,HI,3100,6,119,6,119
Dallas Mastectomy Surgery,12,"7,245",10000,0.725,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,112,18,DALLAS,TX,351000,1,4,1,4
Bubbles' Vet Bills,13,"2,760",20000,0.138,0,0,Animals," September 13, 2016",9,9/13/16,9/25/16,12,87,11,BLACK LICK,PA,580000,0,6,,6
Stella's surgery fund!,14,"1,500",7000,0.214,0,0,Animals," September 16, 2016",9,9/16/16,9/25/16,9,65,9,HOUSTON,TX,123000,0,5,,5
Vet Bills & Sight for Jake (Puggle),15,"4,270",5500,0.776,0,0,Animals," January 28, 2016",1,1/28/16,9/25/16,241,105,8,METAMORA,IL,3400,0,37,,37
"Thanks to you, ER pets get help! ",16,"57,320",80000,0.717,0,0,Animals," December 18, 2013",12,12/18/13,9/25/16,1012,1724,33,MANCHESTER,NH,2300,50,41,50,41
Troublez Medical Expenses,17,285,1500,0.19,0,0,Animals," September 20, 2016",9,9/20/16,9/25/16,5,14,4,ONTARIO,CA,1900,1,3,1,3
Dash's CCL Surgery ,18,"2,160",3500,0.617,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,58,18,WAUSAU,WI,216000,0,12,,12
Help Us Get Lilly Back on All Fours,19,"1,700",2500,0.68,0,0,Animals," January 30, 2016",1,1/30/16,9/25/16,239,29,7,FORISTELL,MO,181000,1,1,1,1
HELP US SAVE KNOX!!,20,"1,380",2600,0.531,0,0,Animals," June 29, 2015",6,6/29/15,9/25/16,454,39,15,WASHINGTON,PA,274000,0,2,,2
"Jax's Medical Fund, he needs us! ",21,"2,815",5000,0.563,0,0,Animals," October 8, 2015",10,10/8/15,9/25/16,353,50,11,SAN CARLOS,CA,180000,1,3,1,3
HELP US SAVE DIAMONDS LIFE,22,"1,250",9800,0.128,0,0,Animals," August 13, 2015",8,8/13/15,9/25/16,409,25,13,SAINT PETERSBURG,FL,400000,2,1,2,1
Help Us Save Brewsers Leg,23,"1,925",3000,0.642,0,0,Animals," December 28, 2015",12,12/28/15,9/25/16,272,53,9,SPRING HILL,FL,116000,3,6,3,6
Help us build a Kitten Nursery!,24,725,1500,0.483,0,0,Animals," January 25, 2015",1,1/25/15,9/25/16,609,19,20,GAINESVILLE,FL,590000,0,6,,6
Please Help Us Save Gator  ,25,"1,850",3000,0.617,0,0,Animals," October 2, 2013",10,10/2/13,9/25/16,1089,43,36,CLEVELAND,TN,549000,0,14,,14
Help us save Harvey!,26,"1,238",2800,0.442,0,0,Animals," May 16, 2016",5,5/16/16,9/25/16,132,32,4,MANSFIELD CENTER,CT,116000,0,4,,4
POPSICLE  NEEDS YOUR HELP!,27,"1,260",2640,0.477,0,0,Animals," February 1, 2016",2,2/1/16,9/25/16,237,27,7,Stratford,ON,186000,3,11,3,11
Please help us get our dogs home,28,"3,200",6000,0.533,0,0,Animals," March 14, 2014",3,3/14/14,9/25/16,926,42,30,Bangkok,TH,411000,4,13,4,13
Operation: Gypsy Operation,29,"2,709",3500,0.774,0,0,Animals," September 12, 2016",9,9/12/16,9/25/16,13,76,13,MINNEAPOLIS,MN,98000,2,5,2,5
World Bird Sanctuary's Tractor Fund,30,"25,102",24300,1.033,1,0,Animals," January 25, 2016",1,1/25/16,9/25/16,244,90,8,VALLEY PARK,MO,1700,0,6,,6
Lewis needs new legs,31,785,15000,0.052,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,21,2,YORK,PA,144000,0,4,,4
Please help me move with my pups!,32,950,1500,0.633,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,21,2,CASSELBERRY,FL,107000,0,0,,
Help Save Ella's Eye Sight,33,"3,121",3800,0.821,0,0,Animals," September 21, 2016",9,9/21/16,9/25/16,4,32,3,FAYETTEVILLE,AR,83000,0,1,,1
Found cat w/ 2 broken legs Med help,34,430,400,1.075,1,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,19,1,SAINT LOUIS,MO,49000,0,0,,
Rockys Medical Treatment,35,"2,370",15000,0.158,0,0,Animals," September 17, 2016",9,9/17/16,9/25/16,8,51,8,LINDENHURST,NY,171000,4,3,4,3
Craig/Jeannie Family Burn Recovery,36,"23,440",50000,0.469,0,0,Animals," September 2, 2016",9,9/2/16,9/25/16,23,309,22,WASHINGTON,DC,669000,11,17,11,17
SAVE HENRY,37,865,4500,0.192,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,17,1,WEST PALM BEACH,FL,97000,0,1,,1
Starfire's Transport to Sanctuary,38,"5,185",7500,0.691,0,0,Animals," May 12, 2016",5,5/12/16,9/25/16,136,59,4,MALIBU,CA,1000,3,2,3,2
Negri's Emergency Surgery,39,937,7000,0.134,0,0,Animals," September 6, 2016",9,9/6/16,9/25/16,19,37,19,MIAMI,FL,330000,2,5,2,5
BFF Kitten Kountdown,40,"5,869",10000,0.587,0,0,Animals," April 25, 2016",4,4/25/16,9/25/16,153,95,5,FORT LAUDERDALE,FL,1000,5,43,5,43
